Id,log_date,log_time,total_steps,average_intensity,total_intensity,calories,dataset_window,is_weekend,week_day,window_day_index
1503960366,2016-03-12,22:00:00,1132,0.683333,41.0,123.0,2016-03-12_to_2016-04-11,true,7,1
5577150313,2016-03-12,13:00:00,1934,1.683333,101.0,388.0,2016-03-12_to_2016-04-11,true,7,1
1644430081,2016-03-12,20:00:00,2339,1.25,75.0,284.0,2016-03-12_to_2016-04-11,true,7,1
5577150313,2016-03-12,11:00:00,1041,1.65,99.0,348.0,2016-03-12_to_2016-04-11,true,7,1
6962181067,2016-03-12,12:00:00,3216,1.716667,103.0,234.0,2016-03-12_to_2016-04-11,true,7,1
1503960366,2016-03-12,11:00:00,1764,0.816667,49.0,134.0,2016-03-12_to_2016-04-11,true,7,1
8053475328,2016-03-12,22:00:00,868,0.7,42.0,175.0,2016-03-12_to_2016-04-11,true,7,1
5577150313,2016-03-12,10:00:00,2947,2.15,129.0,433.0,2016-03-12_to_2016-04-11,true,7,1
1644430081,2016-03-12,15:00:00,945,0.666667,40.0,206.0,2016-03-12_to_2016-04-11,true,7,1
2022484408,2016-03-12,11:00:00,1746,0.65,39.0,183.0,2016-03-12_to_2016-04-11,true,7,1
5577150313,2016-03-12,19:00:00,1346,1.083333,65.0,305.0,2016-03-12_to_2016-04-11,true,7,1
1644430081,2016-03-12,19:00:00,2494,1.383333,83.0,302.0,2016-03-12_to_2016-04-11,true,7,1
2873212765,2016-03-12,16:00:00,1994,0.65,39.0,121.0,2016-03-12_to_2016-04-11,true,7,1
6775888955,2016-03-12,08:00:00,1825,1.366667,82.0,284.0,2016-03-12_to_2016-04-11,true,7,1
2022484408,2016-03-12,08:00:00,4781,1.916667,115.0,406.0,2016-03-12_to_2016-04-11,true,7,1
8877689391,2016-03-12,11:00:00,1883,0.816667,49.0,241.0,2016-03-12_to_2016-04-11,true,7,1
1503960366,2016-03-12,14:00:00,4470,2.016667,121.0,254.0,2016-03-12_to_2016-04-11,true,7,1
8877689391,2016-03-12,12:00:00,817,0.6,36.0,179.0,2016-03-12_to_2016-04-11,true,7,1
2026352035,2016-03-12,16:00:00,1006,0.7,42.0,114.0,2016-03-12_to_2016-04-11,true,7,1
5577150313,2016-03-12,08:00:00,1658,1.45,87.0,309.0,2016-03-12_to_2016-04-11,true,7,1
6290855005,2016-03-12,10:00:00,2511,1.333333,80.0,404.0,2016-03-12_to_2016-04-11,true,7,1
2873212765,2016-03-12,12:00:00,1161,0.683333,41.0,133.0,2016-03-12_to_2016-04-11,true,7,1
3372868164,2016-03-12,18:00:00,811,0.633333,38.0,120.0,2016-03-12_to_2016-04-11,true,7,1
8877689391,2016-03-12,14:00:00,9149,2.666667,160.0,856.0,2016-03-12_to_2016-04-11,true,7,1
1644430081,2016-03-12,16:00:00,1647,0.733333,44.0,250.0,2016-03-12_to_2016-04-11,true,7,1
4319703577,2016-03-12,12:00:00,703,0.566667,34.0,131.0,2016-03-12_to_2016-04-11,true,7,1
2347167796,2016-03-12,07:00:00,2826,1.25,75.0,240.0,2016-03-12_to_2016-04-11,true,7,1
6290855005,2016-03-12,11:00:00,1527,0.75,45.0,199.0,2016-03-12_to_2016-04-11,true,7,1
6962181067,2016-03-12,17:00:00,2538,1.033333,62.0,181.0,2016-03-12_to_2016-04-11,true,7,1
1503960366,2016-03-12,23:00:00,918,0.583333,35.0,111.0,2016-03-12_to_2016-04-11,true,7,1
1503960366,2016-03-12,12:00:00,1259,0.783333,47.0,130.0,2016-03-12_to_2016-04-11,true,7,1
1644430081,2016-03-12,18:00:00,2804,1.516667,91.0,324.0,2016-03-12_to_2016-04-11,true,7,1
2347167796,2016-03-12,11:00:00,984,0.766667,46.0,152.0,2016-03-12_to_2016-04-11,true,7,1
5577150313,2016-03-12,09:00:00,2341,2.016667,121.0,394.0,2016-03-12_to_2016-04-11,true,7,1
4319703577,2016-03-12,11:00:00,895,0.583333,35.0,138.0,2016-03-12_to_2016-04-11,true,7,1
2022484408,2016-03-12,17:00:00,758,0.6,36.0,152.0,2016-03-12_to_2016-04-11,true,7,1
1927972279,2016-03-12,09:00:00,835,0.683333,41.0,204.0,2016-03-12_to_2016-04-11,true,7,1
