Id,log_date,log_time,total_sleep_records,total_sleep_minutes,total_time_in_bed,sleep_efficiency,dataset_window,window_day_index,week_day,is_weekend
5553957443,2016-04-17,00:00:00,1.0,350.0,402.0,0.87064676616915426,2016-04-12_to_2016-05-12,6,1,true
2347167796,2016-04-17,00:00:00,1.0,556.0,602.0,0.92358803986710969,2016-04-12_to_2016-05-12,6,1,true
4702921684,2016-04-17,00:00:00,1.0,591.0,612.0,0.96568627450980393,2016-04-12_to_2016-05-12,6,1,true
8378563200,2016-04-17,00:00:00,2.0,525.0,591.0,0.8883248730964467,2016-04-12_to_2016-05-12,6,1,true
6117666160,2016-04-17,00:00:00,2.0,336.0,350.0,0.96,2016-04-12_to_2016-05-12,6,1,true
4388161847,2016-04-17,00:00:00,2.0,619.0,641.0,0.96567862714508579,2016-04-12_to_2016-05-12,6,1,true
5577150313,2016-04-17,00:00:00,1.0,549.0,583.0,0.94168096054888506,2016-04-12_to_2016-05-12,6,1,true
1503960366,2016-04-17,00:00:00,1.0,700.0,712.0,0.9831460674157303,2016-04-12_to_2016-05-12,6,1,true
3977333714,2016-04-17,00:00:00,1.0,381.0,566.0,0.67314487632508835,2016-04-12_to_2016-05-12,6,1,true
2026352035,2016-04-17,00:00:00,1.0,437.0,498.0,0.8775100401606426,2016-04-12_to_2016-05-12,6,1,true
6962181067,2016-04-17,00:00:00,1.0,427.0,446.0,0.95739910313901344,2016-04-12_to_2016-05-12,6,1,true
4445114986,2016-04-17,00:00:00,1.0,98.0,107.0,0.91588785046728971,2016-04-12_to_2016-05-12,6,1,true
7086361926,2016-04-24,00:00:00,1.0,681.0,704.0,0.96732954545454541,2016-04-12_to_2016-05-12,13,1,true
5553957443,2016-04-24,00:00:00,2.0,553.0,640.0,0.8640625,2016-04-12_to_2016-05-12,13,1,true
6962181067,2016-04-24,00:00:00,1.0,511.0,514.0,0.99416342412451364,2016-04-12_to_2016-05-12,13,1,true
4388161847,2016-04-24,00:00:00,3.0,552.0,595.0,0.92773109243697482,2016-04-12_to_2016-05-12,13,1,true
2347167796,2016-04-24,00:00:00,1.0,442.0,459.0,0.96296296296296291,2016-04-12_to_2016-05-12,13,1,true
3977333714,2016-04-24,00:00:00,1.0,310.0,526.0,0.58935361216730042,2016-04-12_to_2016-05-12,13,1,true
8378563200,2016-04-24,00:00:00,1.0,458.0,492.0,0.93089430894308944,2016-04-12_to_2016-05-12,13,1,true
5577150313,2016-04-24,00:00:00,1.0,543.0,615.0,0.88292682926829269,2016-04-12_to_2016-05-12,13,1,true
4702921684,2016-04-24,00:00:00,1.0,480.0,506.0,0.9486166007905138,2016-04-12_to_2016-05-12,13,1,true
4319703577,2016-04-24,00:00:00,1.0,467.0,501.0,0.93213572854291415,2016-04-12_to_2016-05-12,13,1,true
2026352035,2016-04-24,00:00:00,1.0,555.0,591.0,0.93908629441624369,2016-04-12_to_2016-05-12,13,1,true
6117666160,2016-04-24,00:00:00,1.0,353.0,367.0,0.96185286103542234,2016-04-12_to_2016-05-12,13,1,true
1503960366,2016-04-24,00:00:00,1.0,430.0,449.0,0.95768374164810688,2016-04-12_to_2016-05-12,13,1,true
1503960366,2016-05-01,00:00:00,1.0,369.0,396.0,0.93181818181818177,2016-04-12_to_2016-05-12,20,1,true
4558609924,2016-05-01,00:00:00,1.0,115.0,129.0,0.89147286821705429,2016-04-12_to_2016-05-12,20,1,true
7007744171,2016-05-01,00:00:00,1.0,58.0,61.0,0.95081967213114749,2016-04-12_to_2016-05-12,20,1,true
8792009665,2016-05-01,00:00:00,1.0,503.0,527.0,0.95445920303605314,2016-04-12_to_2016-05-12,20,1,true
2026352035,2016-05-01,00:00:00,1.0,527.0,546.0,0.96520146520146521,2016-04-12_to_2016-05-12,20,1,true
1844505072,2016-05-01,00:00:00,1.0,590.0,961.0,0.6139438085327783,2016-04-12_to_2016-05-12,20,1,true
3977333714,2016-05-01,00:00:00,1.0,383.0,626.0,0.61182108626198084,2016-04-12_to_2016-05-12,20,1,true
8378563200,2016-05-01,00:00:00,1.0,475.0,539.0,0.88126159554730987,2016-04-12_to_2016-05-12,20,1,true
5553957443,2016-05-01,00:00:00,2.0,622.0,686.0,0.90670553935860054,2016-04-12_to_2016-05-12,20,1,true
4388161847,2016-05-01,00:00:00,1.0,547.0,597.0,0.916247906197655,2016-04-12_to_2016-05-12,20,1,true
4445114986,2016-05-01,00:00:00,2.0,439.0,459.0,0.95642701525054463,2016-04-12_to_2016-05-12,20,1,true
5577150313,2016-05-01,00:00:00,1.0,379.0,398.0,0.95226130653266328,2016-04-12_to_2016-05-12,20,1,true
4319703577,2016-05-01,00:00:00,1.0,484.0,500.0,0.968,2016-04-12_to_2016-05-12,20,1,true
6117666160,2016-05-01,00:00:00,1.0,507.0,575.0,0.88173913043478258,2016-04-12_to_2016-05-12,20,1,true
6962181067,2016-05-01,00:00:00,1.0,411.0,426.0,0.96478873239436624,2016-04-12_to_2016-05-12,20,1,true
7086361926,2016-05-01,00:00:00,1.0,388.0,407.0,0.95331695331695332,2016-04-12_to_2016-05-12,20,1,true
8378563200,2016-05-08,00:00:00,1.0,545.0,606.0,0.89933993399339929,2016-04-12_to_2016-05-12,27,1,true
5553957443,2016-05-08,00:00:00,1.0,568.0,608.0,0.93421052631578949,2016-04-12_to_2016-05-12,27,1,true
4558609924,2016-05-08,00:00:00,1.0,123.0,134.0,0.917910447761194,2016-04-12_to_2016-05-12,27,1,true
4445114986,2016-05-08,00:00:00,1.0,361.0,391.0,0.92327365728900257,2016-04-12_to_2016-05-12,27,1,true
4319703577,2016-05-08,00:00:00,1.0,602.0,638.0,0.94357366771159878,2016-04-12_to_2016-05-12,27,1,true
2026352035,2016-05-08,00:00:00,1.0,541.0,568.0,0.95246478873239437,2016-04-12_to_2016-05-12,27,1,true
1644430081,2016-05-08,00:00:00,1.0,137.0,154.0,0.88961038961038963,2016-04-12_to_2016-05-12,27,1,true
4020332650,2016-05-08,00:00:00,1.0,364.0,402.0,0.90547263681592038,2016-04-12_to_2016-05-12,27,1,true
6117666160,2016-05-08,00:00:00,1.0,555.0,603.0,0.92039800995024879,2016-04-12_to_2016-05-12,27,1,true
6962181067,2016-05-08,00:00:00,1.0,541.0,569.0,0.95079086115992972,2016-04-12_to_2016-05-12,27,1,true
1503960366,2016-05-08,00:00:00,1.0,594.0,611.0,0.972176759410802,2016-04-12_to_2016-05-12,27,1,true
