Id,log_date,total_steps,total_distance,tracker_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,dataset_window,is_weekend,week_day,window_day_index,minutes_asleep,time_in_bed,sleep_efficiency,has_sleep_log_for_day,has_weight_log_for_day,weight_kg
4057192912,2016-03-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1777,2016-03-12_to_2016-04-11,true,7,1,,,,false,false,
4020332650,2016-03-12,5543,3.97000002861023,3.97000002861023,0.0,0.0,3.96000003814697,0.00999999977648258,0,0,254,757,2990,2016-03-12_to_2016-04-11,true,7,1,,,,false,false,
4057192912,2016-03-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1777,2016-03-12_to_2016-04-11,true,1,2,,,,false,false,
4020332650,2016-03-13,3226,2.30999994277954,2.30999994277954,0.0,0.0,2.27999997138977,0.0,0,0,136,771,2480,2016-03-12_to_2016-04-11,true,1,2,,,,false,false,
4020332650,2016-03-14,3023,2.17000007629395,2.17000007629395,0.0,0.0,2.14000010490417,0.0,0,0,145,1005,2570,2016-03-12_to_2016-04-11,false,2,3,,,,false,false,
4057192912,2016-03-14,8433,6.23000001907349,6.23000001907349,2.45000004768372,0.330000013113022,3.44000005722046,0.0,30,7,135,1268,2453,2016-03-12_to_2016-04-11,false,2,3,,,,false,false,
4057192912,2016-03-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1776,2016-03-12_to_2016-04-11,false,3,4,,,,false,false,
4020332650,2016-03-15,5906,4.23000001907349,4.23000001907349,0.0,0.159999996423721,4.03999996185303,0.0,0,10,215,874,3016,2016-03-12_to_2016-04-11,false,3,4,,,,false,false,
4020332650,2016-03-16,12483,8.98999977111816,8.98999977111816,1.45000004768372,0.569999992847443,6.90000009536743,0.0,25,14,309,599,3830,2016-03-12_to_2016-04-11,false,4,5,,,,false,false,
4057192912,2016-03-16,2139,1.55999994277954,1.55999994277954,0.0,1.29999995231628,0.259999990463257,0.0,0,28,15,1397,1935,2016-03-12_to_2016-04-11,false,4,5,,,,false,false,
4057192912,2016-03-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1776,2016-03-12_to_2016-04-11,false,5,6,,,,false,false,
4020332650,2016-03-17,8940,6.40999984741211,6.40999984741211,0.0,0.0,0.610000014305115,0.0399999991059303,0,0,47,986,3706,2016-03-12_to_2016-04-11,false,5,6,,,,false,false,
4020332650,2016-03-18,368,0.259999990463257,0.259999990463257,0.0,0.0,0.0,0.0,0,0,0,1440,2024,2016-03-12_to_2016-04-11,false,6,7,,,,false,false,
4057192912,2016-03-18,949,0.689999997615814,0.689999997615814,0.0,0.0,0.689999997615814,0.0,0,0,34,1406,1870,2016-03-12_to_2016-04-11,false,6,7,,,,false,false,
4020332650,2016-03-19,5702,4.09000015258789,4.09000015258789,0.0,0.0,0.0,0.0,0,0,0,1440,2980,2016-03-12_to_2016-04-11,true,7,8,,,,false,false,
4057192912,2016-03-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1777,2016-03-12_to_2016-04-11,true,7,8,,,,false,false,
4020332650,2016-03-20,10330,7.40999984741211,7.40999984741211,0.0,0.0,0.0,0.0,0,0,0,1440,3728,2016-03-12_to_2016-04-11,true,1,9,,,,false,false,
4057192912,2016-03-20,44,0.0299999993294477,0.0299999993294477,0.0,0.0,0.0299999993294477,0.0,0,0,2,1438,1782,2016-03-12_to_2016-04-11,true,1,9,,,,false,false,
4057192912,2016-03-21,2660,1.94000005722046,1.94000005722046,0.0,0.0,1.94000005722046,0.0,0,0,46,1394,1978,2016-03-12_to_2016-04-11,false,2,10,,,,false,false,
4020332650,2016-03-21,8778,6.28999996185303,6.28999996185303,0.0,0.0,0.0,0.0,0,0,0,1440,3348,2016-03-12_to_2016-04-11,false,2,10,,,,false,false,
4057192912,2016-03-22,5561,4.19000005722046,4.19000005722046,0.0,0.0,4.07000017166138,0.0,0,0,169,1271,2296,2016-03-12_to_2016-04-11,false,3,11,,,,false,false,
4020332650,2016-03-22,6662,4.78000020980835,4.78000020980835,0.0,0.0,0.0,0.0,0,0,0,1440,3162,2016-03-12_to_2016-04-11,false,3,11,,,,false,false,
4020332650,2016-03-23,6309,4.51999998092651,4.51999998092651,0.0,0.0,0.0,0.0,0,0,0,1440,3140,2016-03-12_to_2016-04-11,false,4,12,,,,false,false,
4057192912,2016-03-23,7239,5.34000015258789,5.34000015258789,0.550000011920929,0.360000014305115,4.38000011444092,0.0,7,7,190,1236,2484,2016-03-12_to_2016-04-11,false,4,12,,,,false,false,
4020332650,2016-03-24,1951,1.4099999666214,1.4099999666214,0.0,0.0,0.0,0.0,0,0,0,1440,1980,2016-03-12_to_2016-04-11,false,5,13,,,,false,false,
4057192912,2016-03-24,7,0.00999999977648258,0.00999999977648258,0.0,0.0,0.00999999977648258,0.0,0,0,1,1439,1787,2016-03-12_to_2016-04-11,false,5,13,,,,false,false,
1503960366,2016-03-25,11004,7.1100001335144,7.1100001335144,2.5699999332428,0.46000000834465,4.07000017166138,0.0,33,12,205,804,1819,2016-03-12_to_2016-04-11,false,6,14,,,,false,false,
4020332650,2016-03-25,5563,3.99000000953674,3.99000000953674,0.0,0.0,0.0,0.0,0,0,0,1440,3681,2016-03-12_to_2016-04-11,false,6,14,,,,false,false,
1624580081,2016-03-25,1810,1.17999994754791,1.17999994754791,0.0,0.0,1.12999999523163,0.00999999977648258,0,0,121,1319,1373,2016-03-12_to_2016-04-11,false,6,14,,,,false,false,
4057192912,2016-03-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1776,2016-03-12_to_2016-04-11,false,6,14,,,,false,false,
4057192912,2016-03-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1776,2016-03-12_to_2016-04-11,true,7,15,,,,false,false,
1624580081,2016-03-26,815,0.529999971389771,0.529999971389771,0.0,0.0,0.529999971389771,0.0,0,0,47,1393,1264,2016-03-12_to_2016-04-11,true,7,15,,,,false,false,
4020332650,2016-03-26,4370,3.13000011444092,3.13000011444092,0.0,0.0,0.0,0.0,0,0,0,1440,3444,2016-03-12_to_2016-04-11,true,7,15,,,,false,false,
1503960366,2016-03-26,17609,11.5500001907349,11.5500001907349,6.92000007629395,0.730000019073486,3.91000008583069,0.0,89,17,274,588,2154,2016-03-12_to_2016-04-11,true,7,15,,,,false,false,
1624580081,2016-03-27,1985,1.28999996185303,1.28999996185303,0.0,0.0,1.27999997138977,0.00999999977648258,0,0,112,1328,1350,2016-03-12_to_2016-04-11,true,1,16,,,,false,false,
1503960366,2016-03-27,12736,8.52999973297119,8.52999973297119,4.65999984741211,0.159999996423721,3.71000003814697,0.0,56,5,268,605,1944,2016-03-12_to_2016-04-11,true,1,16,,,,false,false,
4057192912,2016-03-27,2275,1.67999994754791,1.67999994754791,0.0,0.0,1.6599999666214,0.0,0,0,86,1354,2005,2016-03-12_to_2016-04-11,true,1,16,,,,false,false,
4020332650,2016-03-27,7144,5.11999988555908,5.11999988555908,0.0,0.0,0.0,0.0,0,0,0,1440,3510,2016-03-12_to_2016-04-11,true,1,16,,,,false,false,
4020332650,2016-03-28,2106,1.50999999046326,1.50999999046326,0.0199999995529652,0.0500000007450581,0.209999993443489,0.0,31,45,75,1289,4010,2016-03-12_to_2016-04-11,false,2,17,,,,false,false,
4057192912,2016-03-28,8,0.00999999977648258,0.00999999977648258,0.0,0.0,0.00999999977648258,0.0,0,0,1,1439,1778,2016-03-12_to_2016-04-11,false,2,17,,,,false,false,
1624580081,2016-03-28,1905,1.24000000953674,1.24000000953674,0.0,0.0,1.24000000953674,0.0,0,0,95,1345,1342,2016-03-12_to_2016-04-11,false,2,17,,,,false,false,
1503960366,2016-03-28,13231,8.93000030517578,8.93000030517578,3.19000005722046,0.790000021457672,4.94999980926514,0.0,39,20,224,1080,1932,2016-03-12_to_2016-04-11,false,2,17,,,,false,false,
2891001357,2016-03-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1920,2016-03-12_to_2016-04-11,false,3,18,,,,false,false,
4388161847,2016-03-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,1878,2016-03-12_to_2016-04-11,false,3,18,,,,false,false,
1624580081,2016-03-29,1552,1.00999999046326,1.00999999046326,0.0,0.0,1.0,0.0,0,0,66,1374,1300,2016-03-12_to_2016-04-11,false,3,18,,,,false,false,
4702921684,2016-03-29,6506,5.28000020980835,5.28000020980835,0.330000013113022,0.270000010728836,4.67000007629395,0.0,4,5,241,760,2886,2016-03-12_to_2016-04-11,false,3,18,,,,false,false,
4020332650,2016-03-29,4152,2.98000001907349,2.98000001907349,0.0,0.0,2.96000003814697,0.0,0,0,187,1253,2976,2016-03-12_to_2016-04-11,false,3,18,,,,false,false,
1503960366,2016-03-29,12041,7.84999990463257,7.84999990463257,2.16000008583069,1.0900000333786,4.6100001335144,0.0,28,28,243,763,1886,2016-03-12_to_2016-04-11,false,3,18,,,,false,false,
4057192912,2016-03-29,5137,3.75999999046326,3.75999999046326,0.0,0.0,3.75999999046326,0.0,0,0,160,1280,2293,2016-03-12_to_2016-04-11,false,3,18,,,,false,false,
2347167796,2016-03-29,10272,6.78999996185303,6.78999996185303,0.159999996423721,3.11999988555908,3.5,0.0,2,58,208,700,2041,2016-03-12_to_2016-04-11,false,3,18,,,,false,false,
4319703577,2016-03-29,5643,3.78999996185303,3.78999996185303,0.230000004172325,0.330000013113022,3.23000001907349,0.0,3,8,199,683,1958,2016-03-12_to_2016-04-11,false,3,18,,,,false,false,
4445114986,2016-03-29,2303,1.54999995231628,1.54999995231628,0.0,0.0,1.54999995231628,0.0,0,0,155,807,2010,2016-03-12_to_2016-04-11,false,3,18,,,,false,false,
4020332650,2016-03-30,5400,3.86999988555908,3.86999988555908,0.0,0.0,3.84999990463257,0.0,0,0,258,795,3418,2016-03-12_to_2016-04-11,false,4,19,,,,false,false,
1624580081,2016-03-30,1675,1.0900000333786,1.0900000333786,0.0,0.0,1.0900000333786,0.0,0,0,84,1356,1313,2016-03-12_to_2016-04-11,false,4,19,,,,false,false,
